Brand,Model,Year,Price,Mileage,Transmission,Fuel Type,Previous Owners,Color,Body Type,Engine position,Engine capacity (litre),Cylinder layout and quantity,Seats (quantity),No of doors,Front tyres,Rear tyres,Driven wheels,Fuel capacity,Fuel consumption (average),Fuel range (average),Power maximum (detail),Torque maximum,Acceleration 0-100 km/h,Maximum/top speed,CO2 emissions (average)
BMW,X3 xDrive20d xLine,2019,559000.0,83356.0,Automatic,Diesel,Unknown,White,SUV,Front,2.0,i4,5.0,5.0,245/50 R18 (opt 245/45 R19),,All Wheel Drive,67.0,5.0,1340.0,140.0,400.0,8.1,210.0,131.0
Toyota,Agya 1.0,2022,159900.0,44110.0,Manual,Petrol,1,Silver,Hatchback,Front,1.0,i3,5.0,5.0,175/65 R14,175/65 R14,Front Wheel Drive,33.0,4.8,688.0,49.0,89.0,14.6,165.0,112.0
Volkswagen,Polo Vivo Hatch 1.4 Trendline,2023,259900.0,5500.0,Manual,Petrol,Unknown,Reflex silver metall,Hatchback,Front,1.4,i4,5.0,5.0,185/60 R14 (opt 185/60 R15),185/60 R14 (opt 185/60 R15),Front Wheel Drive,45.0,5.7,790.0,55.0,130.0,,171.0,134.0
Hyundai,Elantra 1.6 Executive,2019,249990.0,65000.0,Manual,Petrol,Unknown,Polar white,Sedan,Front,1.6,i4,5.0,4.0,205/55 R16,205/55 R16,Front Wheel Drive,50.0,6.5,769.0,93.0,155.0,10.1,200.0,155.0
Renault,Sandero 66kW Turbo Stepway Expression,2018,149900.0,77700.0,Manual,Petrol,1,Grey,Hatchback,Front,0.9,i3,5.0,5.0,205/55 R16,205/55 R16,Front Wheel Drive,50.0,5.4,926.0,66.0,135.0,11.1,168.0,124.0
Toyota,Fortuner 2.8GD-6 Epic,2020,599900.0,44900.0,Automatic,Diesel,1,White,SUV,Front,2.8,i4,7.0,5.0,265/60 R18,265/60 R18,4x2,80.0,8.0,1000.0,130.0,450.0,10.8,180.0,212.0
Bentley,Bentayga Diesel,2018,2799800.0,98000.0,Automatic,Diesel,1,Blue,SUV,Front,4.0,V8,5.0,5.0,275/50 R20 (opt 285/45 R21 / opt 285/40 R22),275/50 R20 (opt 285/45 R21 / opt 285/40 R22),All Wheel Drive,85.0,8.0,1063.0,320.0,900.0,4.8,270.0,210.0
Volkswagen,Polo Hatch 1.0TSI Comfortline Auto,2020,228000.0,4000.0,Automatic,Petrol,1,Blue,Hatchback,Front,1.0,i3,5.0,5.0,185/65 R15,185/65 R15,Front Wheel Drive,40.0,4.7,851.0,70.0,175.0,10.8,187.0,107.0
BMW,X4 M40d,2020,899900.0,69750.0,Automatic,Diesel,1,Grey,SUV,Front,3.0,i6,5.0,5.0,245/45 R20 (opt 245/40 R21),275/40 R20 (opt 275/35 R21),All Wheel Drive,68.0,6.8,1000.0,240.0,680.0,4.9,250.0,179.0
Toyota,RAV4 2.0 GX Auto,2020,439900.0,52120.0,Automatic,Petrol,1,White,SUV,Front,2.0,i4,5.0,5.0,225/65 R17,225/65 R17,Front Wheel Drive,55.0,6.5,846.0,127.0,203.0,,190.0,147.0
Honda,CR-V 2.0 Comfort,2018,319900.0,67000.0,Automatic,Petrol,Unknown,Grey,SUV,Front,2.0,i4,5.0,5.0,235/65 R17,235/65 R17,Front Wheel Drive,57.0,7.3,781.0,113.0,189.0,11.2,192.0,173.0
Volkswagen,Polo Vivo Hatch 1.4 Trendline,2023,245900.0,218.0,Manual,Petrol,Unknown,Limestone grey,Hatchback,Front,1.4,i4,5.0,5.0,185/60 R14 (opt 185/60 R15),185/60 R14 (opt 185/60 R15),Front Wheel Drive,45.0,5.7,790.0,55.0,130.0,,171.0,134.0
BMW,2 Series 220d Coupe M Sport Auto,2018,425900.0,23256.0,Automatic,Diesel,1,White,Coupé,Front,2.0,i4,4.0,2.0,225/45 R17 (opt 225/40 R18),245/40 R17 (opt 245/35 R18),Rear Wheel Drive,52.0,4.0,1300.0,140.0,400.0,7.0,230.0,104.0
Volkswagen,Polo Hatch 1.0TSI Highline Auto,2022,369950.0,25000.0,Automatic,Petrol,Unknown,Pure white,Hatchback,Front,1.0,i3,5.0,5.0,195/55 R16,195/55 R16,Front Wheel Drive,40.0,4.8,833.0,85.0,200.0,9.5,200.0,109.0
Audi,A5 Sportback 40TDI Quattro S Line,2021,779950.0,19400.0,Automatic,Diesel,Unknown,Glacier white metallic,Fastback,Front,2.0,i4,5.0,5.0,245/40 R18 (255/35 R19 / opt 265/30 R20),245/40 R18 (255/35 R19 / opt 265/30 R20),All Wheel Drive,58.0,6.0,967.0,140.0,400.0,7.6,235.0,162.0
Audi,Q3 40TFSI Quattro S Line,2021,759950.0,13000.0,Automatic,Petrol,Unknown,Daytona gray pearlescent,SUV,Front,2.0,i4,5.0,5.0,235/55 R18 (opt 235/50 R19),235/55 R18 (opt 235/50 R19),All Wheel Drive,60.0,8.2,732.0,132.0,320.0,7.8,220.0,187.0
Mercedes-Benz,V-Class V250d Avantgarde,2019,1052900.0,66000.0,Automatic,Diesel,1,Grey,MPV,Front,2.1,i4,6.0,5.0,245/45 R19,245/45 R19,Rear Wheel Drive,70.0,6.5,1081.0,140.0,440.0,9.6,206.0,169.0
Toyota,Hilux 2.4GD-6 Xtra Cab Raider,2022,487900.0,7808.0,Manual,Diesel,1,Grey,Extended cab,Front,2.4,i4,2.0,4.0,265/65 R17,265/65 R17,4x2,80.0,,,110.0,400.0,,175.0,
Kia,Grand Sedona 2.2CRDi SXL,2019,551900.0,23000.0,Automatic,Diesel,1,White,MPV,Front,2.2,i4,7.0,5.0,235/60 R18,235/60 R18,Front Wheel Drive,80.0,8.0,1000.0,147.0,440.0,13.6,190.0,208.0
JMC,Landwind 5 2.0T Lux,2018,97900.0,50000.0,Manual,Petrol,1,Silver,SUV,Front,2.0,i4,5.0,5.0,225/65 R17,225/65 R17,Front Wheel Drive,60.0,8.5,706.0,140.0,250.0,11.0,185.0,201.0
Porsche,Cayenne GTS,2018,931900.0,37176.0,Automatic,Petrol,1,Red,SUV,Front,3.6,V6,5.0,5.0,275/45 R20,275/45 R20,All Wheel Drive,100.0,9.8,1020.0,324.0,600.0,5.2,262.0,228.0
Renault,Kiger 1.0 Turbo Intens Auto,2022,333615.0,7000.0,Automatic,Petrol,Unknown,Red,SUV,Front,1.0,i3,5.0,5.0,195/60 R16,195/60 R16,Front Wheel Drive,40.0,5.4,741.0,74.0,160.0,,,129.0
